"transcript_id","compatible_tx","gene_id","gene_name","pvalue","fdr","auc","cluster_1","cluster_2","contrast"
"ISOT-e12f-e796-f779-02f2:s53428950:e53430850:AP:FL","ENSMUST00000109021","ENSMUSG00000044894","Uqcrq",0.00155770467468189,0.0395795964737945,0.580228365384615,"cyc_rad_glia.1","glut.7","cyc_rad_glia.1__glut.7"
"ISOT-a95f-eca5-43c1-1596:s53427900:e53430850:AP:FL","ENSMUST00000061326","ENSMUSG00000044894","Uqcrq",0.000408989205903703,0.00959372195395221,0.63681891025641,"glut.7","cyc_rad_glia.1","cyc_rad_glia.1__glut.7"
"ISOT-38de-9bd9-a644-0102:s118104350:e118116200:AP:FL","ENSMUST00000131374","ENSMUSG00000008683","Rps15a",4.2107780830718e-05,0.00928408651541798,0.651972340091152,"gaba.2","glut.5","gaba.2__glut.5"
"ISOT-b3ec-cd14-7493-316f:s118104350:e118115300:AP:FL","ENSMUST00000172457","ENSMUSG00000008683","Rps15a",0.000683895437276269,0.00529379990235935,0.616690240452617,"glut.5","gaba.2","gaba.2__glut.5"
"ISOT-3878-e373-f2c1-1c70:s27630400:e27635550:AP:FL","ENSMUST00000114882","ENSMUSG00000024213,ENSMUSG00000117338,ENSMUSG00000052146","Nudt3,Gm49804,Rps10",2.12149477013302e-06,0.000852965691403482,0.677746346063178,"gaba.2","glut.5","gaba.2__glut.5"
"ISOT-74b2-d022-c18d-1096:s27579350:e27623500:AP:FL","ENSMUST00000025050","ENSMUSG00000024213,ENSMUSG00000117338,ENSMUSG00000052146","Nudt3,Gm49804,Rps10",0.000322794669612317,0.00322512629000865,0.576496935407827,"glut.5","gaba.2","gaba.2__glut.5"
"ISOT-f320-f303-7a5a-e6aa:s27579350:e27597250:AP:FL","ENSMUST00000231742","ENSMUSG00000024213,ENSMUSG00000117338,ENSMUSG00000052146","Nudt3,Gm49804,Rps10",0.00693656254934355,0.0261219862395389,0.53041018387553,"glut.5","gaba.2","gaba.2__glut.5"
"ISOT-0a73-a9b0-2a21-4d1d:s60774550:e60778550:AP:FL","ENSMUST00000025511","ENSMUSG00000024608","Rps14",1.21774037467302e-09,9.24806162321121e-07,0.730551626591231,"gaba.2","glut.5","gaba.2__glut.5"
"ISOT-4728-bfce-916e-4088:s60747100:e60778550:AP:FL","ENSMUST00000235966","ENSMUSG00000024608","Rps14",1.21774037467302e-09,9.24806162321121e-07,0.730551626591231,"gaba.2","glut.5","gaba.2__glut.5"
"ISOT-8612-64c2-a190-6146:s60747650:e60778550:AP:FL","ENSMUST00000235603","ENSMUSG00000024608","Rps14",1.21774037467302e-09,9.24806162321121e-07,0.730551626591231,"gaba.2","glut.5","gaba.2__glut.5"
