tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu + StringTie2	0	0.7432432432432432	0.009146341463414634	0.5010060362173038	0.025440313111545987	0.6617940199335548
Bambu + StringTie2	3	0.7022556390977444	0.00303951367781155	0.4708249496981891	0.02702702702702703	0.6345762711864407
Bambu + StringTie2	6	0.7138643067846607	0.0031746031746031746	0.48841893252769386	0.02610441767068273	0.6505700871898055
Bambu + StringTie2	9	0.7844036697247706	0.011764705882352941	0.5201207243460765	0.02819548872180451	0.6775884665792923
Bambu + StringTie2	12	0.8734567901234568	0.002890173410404624	0.5704225352112676	0.02577319587628866	0.7195431472081218
Bambu + StringTie2	15	0.8811292719167905	0.0125	0.6012084592145015	0.019704433497536946	0.7453183520599251
Bambu + StringTie2	18	0.8833592534992224	0.014245014245014245	0.5764587525150905	0.03209459459459459	0.7225725094577553
Bambu + StringTie2	21	0.9174603174603174	0.013774104683195593	0.5871097683786506	0.02508361204013378	0.732872407291012
Bambu + StringTie2	24	0.9218500797448166	0.021798365122615803	0.5895372233400402	0.016778523489932886	0.7371069182389937
Bambu + StringTie2	27	0.9367088607594937	0.03314917127071823	0.607645875251509	0.02106969205834684	0.749844816883923
Bambu + StringTie2	30	0.9407894736842105	0.03636363636363636	0.5901309164149043	0.015126050420168067	0.7380352644836272
Bambu + StringTie2	33	0.9378787878787879	0.09281437125748503	0.6539235412474849	0.0196078431372549	0.7845503922751962
Bambu + StringTie2	36	0.9425465838509317	0.09169054441260745	0.6435045317220544	0.031818181818181815	0.7731397459165155
Bambu + StringTie2	39	0.9806138933764136	0.112	0.6529175050301811	0.03134328358208955	0.7800480769230769
Bambu + StringTie2	42	0.9724770642201835	0.1676470588235294	0.6971830985915493	0.022566995768688293	0.8138578978273635
Bambu + StringTie2	45	0.9666666666666667	0.21621621621621623	0.7150050352467271	0.03137789904502047	0.8227114716106605
Bambu + StringTie2	48	0.9766081871345029	0.2806451612903226	0.7595573440643864	0.036989795918367346	0.8492688413948256
Bambu + StringTie2	51	0.9644970414201184	0.30914826498422715	0.7552870090634441	0.048223350253807105	0.8422234699606962
Bambu + StringTie2	54	0.9732016925246827	0.3157894736842105	0.7847082494969819	0.03345724907063197	0.8661854525263742
Bambu + StringTie2	57	0.9817671809256662	0.33807829181494664	0.7997987927565392	0.032846715328467155	0.8755506607929515
Bambu + StringTie2	60	0.9839650145772595	0.36156351791530944	0.7915407854984894	0.040293040293040296	0.8675496688741722
Bambu + StringTie2	63	0.9873417721518988	0.4416961130742049	0.8319919517102615	0.029342723004694836	0.8959913326110509
Bambu + StringTie2	66	0.9917582417582418	0.37358490566037733	0.8267875125881168	0.03297997644287397	0.8914223669923995
Bambu + StringTie2	69	0.9903713892709766	0.4157303370786517	0.8360160965794768	0.03146853146853147	0.8974082073434125
Bambu + StringTie2	72	0.9882659713168188	0.43171806167400884	0.8611670020120724	0.02947845804988662	0.9125799573560768
Bambu + StringTie2	75	0.992	0.4279835390946502	0.8539778449144008	0.03416856492027335	0.9064671298770711
Bambu + StringTie2	78	0.9923273657289002	0.5	0.8873239436619719	0.03076923076923077	0.9264705882352942
Bambu + StringTie2	81	0.9933422103861518	0.4628099173553719	0.8640483383685801	0.023890784982935155	0.9166666666666666
Bambu + StringTie2	84	0.9974025974025974	0.49107142857142855	0.8832997987927566	0.02983425414364641	0.9246972090573986
