tool	top_n_hvts	corr_spearman	corr_spearman_upper_ci	corr_spearman_lower_ci	mean_rel_diff	mean_rel_diff_upper_ci	mean_rel_diff_lower_ci
Isosceles	500	0.438189386758518	0.459863399987686	0.41651537352935	0.391243198853504	0.447829057257467	0.334657340449542
IsoQuant	500	0.347637202821291	0.370747381705199	0.324527023937383	0.221230217257935	0.241924854133466	0.200535580382404
FLAMES	500	0.19712042837361	0.225319123610963	0.168921733136258	0.30931068620111	0.344671234392822	0.273950138009398
Sicelore	500	0.331656802719216	0.340590489794454	0.322723115643978	0.313942719478453	0.340156069713	0.287729369243906
Isosceles	1000	0.409020401949549	0.429941192181645	0.388099611717453	0.350212606141171	0.388963613146551	0.311461599135792
IsoQuant	1000	0.304280626725801	0.327328151645943	0.281233101805658	0.178730388787041	0.1980006250792	0.159460152494881
FLAMES	1000	0.183913494569432	0.204699763538826	0.163127225600038	0.268874466316858	0.317415878673806	0.220333053959911
Sicelore	1000	0.285386689197922	0.299477363025728	0.271296015370115	0.239588062916608	0.260734052494664	0.218442073338551
Isosceles	2000	0.359395467674432	0.382840369851444	0.33595056549742	0.279795477571011	0.317042979246009	0.242547975896014
IsoQuant	2000	0.259563653170783	0.290119951121663	0.229007355219903	0.146416673385999	0.165224578755369	0.127608768016629
FLAMES	2000	0.165899154939878	0.184096662670444	0.147701647209312	0.211601409710839	0.265880706706194	0.157322112715484
Sicelore	2000	0.228921108713697	0.243884493353215	0.213957724074179	0.178359872568737	0.201949086940951	0.154770658196523
Isosceles	4000	0.261179461639204	0.283507487639162	0.238851435639246	0.220532263048496	0.253591969966441	0.18747255613055
IsoQuant	4000	0.194602751175577	0.216341719527242	0.172863782823912	0.108490692035131	0.127991984092666	0.0889893999775956
FLAMES	4000	0.12711573598094	0.143670882658377	0.110560589303503	0.164181702946708	0.21430992564218	0.114053480251237
Sicelore	4000	0.166350118009392	0.175707614572049	0.156992621446736	0.126913733166291	0.150488779143788	0.103338687188793
Isosceles	6000	0.196701934087772	0.216134389275683	0.177269478899861	0.199213209064041	0.23110403168686	0.167322386441222
IsoQuant	6000	0.164856401572264	0.180989952014797	0.14872285112973	0.0919877487603219	0.109107243552461	0.0748682539681833
FLAMES	6000	0.104663388310406	0.117539569145328	0.0917872074754838	0.142781628145969	0.190476178807392	0.0950870774845458
Sicelore	6000	0.141572151009247	0.150197801750388	0.132946500268105	0.105835419216436	0.128727569569112	0.0829432688637603
Isosceles	10000	0.133238709326918	0.146843749424082	0.119633669229754	0.174549176491902	0.204689782826655	0.144408570157149
IsoQuant	10000	0.137944730848286	0.148606031475095	0.127283430221476	0.0756730875010478	0.0915510794265721	0.0597950955755236
FLAMES	10000	0.0763361703740009	0.0898997419343995	0.0627725988136024	0.120152477097762	0.164550925857466	0.0757540283380569
Sicelore	10000	0.119590740195421	0.129144935186192	0.11003654520465	0.0834271263028221	0.104884222077106	0.061970030528538
