tool	ref_quantile	n_cells	mean_rel_diff	median_rel_diff
FLAMES	3	Pseudobulk	1.999787379271914	2
FLAMES	3	Single cell	1.999999707826133	2
IsoQuant	3	Pseudobulk	1.9856206253176187	2
IsoQuant	3	Single cell	1.9999980870747067	2
Isosceles	3	Pseudobulk	1.7687972970311958	2
Isosceles	3	Single cell	1.9938513714599508	2
Sicelore	3	Pseudobulk	1.9992461809927058	2
Sicelore	3	Single cell	1.9999998586114098	2
FLAMES	6	Pseudobulk	2	2
FLAMES	6	Single cell	2	2
IsoQuant	6	Pseudobulk	1.9888097079219254	2
IsoQuant	6	Single cell	1.9999985672965304	2
Isosceles	6	Pseudobulk	1.8204223878225665	2
Isosceles	6	Single cell	1.9949983743985256	2
Sicelore	6	Pseudobulk	1.999460448824696	2
Sicelore	6	Single cell	1.9999999370549362	2
FLAMES	9	Pseudobulk	1.9997949921037597	2
FLAMES	9	Single cell	1.9999994088538813	2
IsoQuant	9	Pseudobulk	1.9865586239778763	2
IsoQuant	9	Single cell	1.9999982996020385	2
Isosceles	9	Pseudobulk	1.7990644163489578	2
Isosceles	9	Single cell	1.9954192060518308	2
Sicelore	9	Pseudobulk	1.9995192590578548	2
Sicelore	9	Single cell	1.9999999089953546	2
FLAMES	12	Pseudobulk	1.9999951655872164	2
FLAMES	12	Single cell	1.9999992224127892	2
IsoQuant	12	Pseudobulk	1.9647846744982087	2
IsoQuant	12	Single cell	1.9999944177060718	2
Isosceles	12	Pseudobulk	1.7273328977579816	1.9999999999993596
Isosceles	12	Single cell	1.9858188994405963	2
Sicelore	12	Pseudobulk	1.9982303434007604	2
Sicelore	12	Single cell	1.9999996355194112	2
FLAMES	15	Pseudobulk	1.9993442093596747	2
FLAMES	15	Single cell	1.9999996664284463	2
IsoQuant	15	Pseudobulk	1.945736305827292	2
IsoQuant	15	Single cell	1.9999920365995203	2
Isosceles	15	Pseudobulk	1.6300405848925028	1.9998054965824559
Isosceles	15	Single cell	1.9871264667118769	2
Sicelore	15	Pseudobulk	1.9980527342510326	2
Sicelore	15	Single cell	1.9999996056740825	2
FLAMES	18	Pseudobulk	1.9980085012791875	2
FLAMES	18	Single cell	1.999997999785024	2
