tool	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu	93.81521821920938	6.690140845070422	76.45928636779506	0.3378915566862776	86.53228868256653
Bambu + StringTie2	93.14875466524488	20.422535211267608	78.66117718816712	2.176963628778397	87.20185269706036
ESPRESSO	79.21014547947293	29.51622780159216	69.31076547727966	5.7635692664925156	79.87418068075984
ESPRESSO + StringTie2	79.1377865793282	35.165339865278625	70.37816407441294	5.623261900867005	80.62960763076063
FLAIR	57.87950338944322	22.39742804654011	50.811222933821284	24.81837462208384	60.63947880839293
FLAIR + StringTie2	58.84682763348314	17.666870789957134	50.64348886855748	23.97564437119443	60.7910969560522
IsoQuant	89.55746820016756	35.777709736680954	78.84415980481855	0.6799846331156358	87.9054743284597
IsoQuant + StringTie2	88.52540178231396	39.635639926515616	78.7862153095456	2.0808854186407917	87.31685059064101
Isosceles + IsoQuant	98.97555030847741	51.25535823637477	89.46935041171089	4.127450980392157	92.56034074775201
Isosceles	98.97555030847741	30.786895284751992	85.3918877706618	3.9879299111888353	90.39110293286846
Isosceles + StringTie2	98.1719856805545	42.34537660747091	87.05093016163464	5.624070094230451	90.5655588165305
LIQA + StringTie2	64.38799603930231	3.6589099816289035	52.29033241842025	1.3747483462755248	68.34479322371699
NanoCount + StringTie2	60.25211364155686	14.788732394366196	51.19548642878926	2.684057971014493	67.09432454036771
