tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu	0	0.7106598984771574	0.0048543689320388345	0.5643863179074446	0.0	0.7215434083601286
Bambu	3	0.6775456919060052	0.0043859649122807015	0.5231388329979879	0.0	0.6869220607661823
Bambu	6	0.7152061855670103	0.004608294930875576	0.5599194360523666	0.0	0.7178825048418335
Bambu	9	0.7704697986577181	0.012048192771084338	0.5804828973843058	0.013675213675213675	0.7308423052564914
Bambu	12	0.8415300546448088	0.007633587786259542	0.6217303822937625	0.0112	0.7634342186534898
Bambu	15	0.8888888888888888	0.0	0.676737160120846	0.002967359050445104	0.8062387522495501
Bambu	18	0.8807339449541285	0.004329004329004329	0.6770623742454729	0.005908419497784343	0.805505685218432
Bambu	21	0.91688654353562	0.00425531914893617	0.7009063444108762	0.0028653295128939827	0.8231815493790656
Bambu	24	0.9231824417009602	0.011320754716981131	0.6800804828973843	0.0014771048744460858	0.8090963494913226
Bambu	27	0.9289617486338798	0.007633587786259542	0.6861167002012073	0.0014641288433382138	0.8133571854502087
Bambu	30	0.9482993197278912	0.011627906976744186	0.7049345417925479	0.0014265335235378032	0.8264462809917356
Bambu	33	0.9568627450980393	0.03056768558951965	0.7434607645875252	0.0013513513513513514	0.8523644752018454
Bambu	36	0.9541884816753927	0.039301310043668124	0.743202416918429	0.004048582995951417	0.8512110726643599
Bambu	39	0.9785522788203753	0.028225806451612902	0.7414486921529175	0.008075370121130552	0.8485895221646517
Bambu	42	0.9625806451612903	0.0365296803652968	0.7585513078470825	0.0013245033112582781	0.8622069754145226
Bambu	45	0.9772151898734177	0.06403940886699508	0.7905337361530715	0.0	0.8830146231721034
Bambu	48	0.9811320754716981	0.05527638190954774	0.795774647887324	0.0025220680958385876	0.885282596530498
Bambu	51	0.9727272727272728	0.06278026905829596	0.7683786505538771	0.0013089005235602095	0.8685258964143426
Bambu	54	0.9902200488997555	0.056818181818181816	0.8249496981891348	0.007263922518159807	0.9010989010989011
Bambu	57	0.9863013698630136	0.04712041884816754	0.8058350100603622	0.0012468827930174563	0.8919821826280624
Bambu	60	0.9861286254728878	0.065	0.8006042296072508	0.002509410288582183	0.888268156424581
Bambu	63	0.9915151515151515	0.1301775147928994	0.8450704225352113	0.0023752969121140144	0.9150326797385621
Bambu	66	0.9927884615384616	0.062111801242236024	0.8418932527693856	0.004761904761904762	0.9121658483360611
Bambu	69	0.991494532199271	0.1111111111111111	0.8400402414486922	0.003579952267303103	0.9115720524017468
Bambu	72	0.9917355371900827	0.14285714285714285	0.8661971830985915	0.003472222222222222	0.9268030139935415
Bambu	75	0.9963985594237695	0.11875	0.8549848942598187	0.007017543859649123	0.9188311688311688
Bambu	78	0.9928741092636579	0.17763157894736842	0.8682092555331992	0.0	0.929456112008616
Bambu	81	0.9929906542056075	0.20437956204379562	0.8841893252769386	0.0045351473922902496	0.9365333333333333
Bambu	84	0.9918032786885246	0.21428571428571427	0.8822937625754527	0.006795016987542469	0.9344698987746404
Bambu	87	0.9940758293838863	0.21333333333333335	0.8762575452716298	0.002290950744558992	0.9330476700589181
Bambu	90	0.996547756041427	0.2661290322580645	0.905337361530715	0.0022197558268590455	0.9493136219640972
Bambu	93	0.9988649262202043	0.26548672566371684	0.9154929577464789	0.0010976948408342481	0.9553805774278216
Bambu	99	0.9976553341148886	0.3333333333333333	0.903420523138833	0.003329633740288568	0.9477572559366755
Bambu + StringTie2	0	0.7106598984771574	0.0	0.5633802816901409	0.02268760907504363	0.7147415443522654
Bambu + StringTie2	3	0.6723237597911227	0.0	0.5181086519114688	0.02462121212121212	0.6767411300919842
Bambu + StringTie2	6	0.7100515463917526	0.0	0.5548841893252769	0.02304964539007092	0.7077713551701991
Bambu + StringTie2	9	0.7570469798657719	0.004016064257028112	0.56841046277666	0.027538726333907058	0.7174603174603175
Bambu + StringTie2	12	0.8387978142076503	0.0	0.6177062374245473	0.025396825396825397	0.7561576354679803
Bambu + StringTie2	15	0.8835978835978836	0.004219409282700422	0.6737160120845922	0.016176470588235296	0.7997609085475195
Bambu + StringTie2	18	0.8571428571428571	0.017316017316017316	0.6619718309859155	0.028064992614475627	0.7875523638539796
Bambu + StringTie2	21	0.8918205804749341	0.00851063829787234	0.6827794561933535	0.01881331403762663	0.8052256532066508
Bambu + StringTie2	24	0.9135802469135802	0.011320754716981131	0.6730382293762576	0.01762114537444934	0.7988059701492537
Bambu + StringTie2	27	0.9289617486338798	0.022900763358778626	0.6901408450704225	0.022792022792022793	0.8089622641509434
Bambu + StringTie2	30	0.9306122448979591	0.01937984496124031	0.6938569989929506	0.010057471264367816	0.8158673771462404
Bambu + StringTie2	33	0.9333333333333333	0.07423580786026202	0.7354124748490946	0.0214190093708166	0.8397472716829408
Bambu + StringTie2	36	0.9384816753926701	0.11353711790393013	0.7482376636455186	0.018494055482166448	0.8491428571428571
Bambu + StringTie2	39	0.9705093833780161	0.13306451612903225	0.761569416498994	0.023225806451612905	0.8558507631430187
Bambu + StringTie2	42	0.9509677419354838	0.1735159817351598	0.7796780684104627	0.02269861286254729	0.8673754896474538
Bambu + StringTie2	45	0.9721518987341772	0.2315270935960591	0.8207452165156093	0.021608643457382955	0.8926615553121577
Bambu + StringTie2	48	0.9723270440251572	0.25125628140703515	0.8279678068410463	0.02372479240806643	0.8960261295590637
Bambu + StringTie2	51	0.9727272727272728	0.33183856502242154	0.8288016112789527	0.03742690058479532	0.8906926406926406
Bambu + StringTie2	54	0.9816625916870416	0.3465909090909091	0.869215291750503	0.0281214848143982	0.9176845459373341
Bambu + StringTie2	57	0.9800747198007472	0.33507853403141363	0.8561368209255533	0.02631578947368421	0.911134903640257
Bambu + StringTie2	60	0.9836065573770492	0.385	0.8630412890231621	0.02944507361268403	0.9136460554371002
Bambu + StringTie2	63	0.9854545454545455	0.39644970414201186	0.8853118712273642	0.02654867256637168	0.9272918861959958
Bambu + StringTie2	66	0.9891826923076923	0.3416149068322981	0.8841893252769386	0.02983425414364641	0.9251844046364595
Bambu + StringTie2	69	0.9939246658566221	0.391812865497076	0.8903420523138833	0.02101769911504425	0.9325605900948367
Bambu + StringTie2	72	0.987012987012987	0.46938775510204084	0.9104627766599598	0.01737242128121607	0.9451697127937336
Bambu + StringTie2	75	0.9891956782713085	0.43125	0.8992950654582075	0.019758507135016465	0.9380252100840336
Bambu + StringTie2	78	0.9904988123515439	0.506578947368421	0.9164989939637826	0.025668449197860963	0.944530844997408
Bambu + StringTie2	81	0.9929906542056075	0.48905109489051096	0.9234642497482377	0.018201284796573874	0.9517384535547483
Bambu + StringTie2	84	0.9918032786885246	0.55	0.9295774647887324	0.01910828025477707	0.9545454545454546
Bambu + StringTie2	87	0.9928909952606635	0.49333333333333335	0.9175050301810865	0.01829924650161464	0.9485179407176287
Bambu + StringTie2	90	0.9953970080552359	0.5080645161290323	0.9345417925478349	0.010660980810234541	0.9611600207146557
Bambu + StringTie2	93	0.9931895573212258	0.5575221238938053	0.9436619718309859	0.011591148577449948	0.9655172413793104
Bambu + StringTie2	99	0.9988276670574443	0.5460992907801419	0.9346076458752515	0.014846235418875928	0.9592152813629323
ESPRESSO	0	0.315989847715736	0.0048543689320388345	0.2515090543259557	0.0	0.40192926045016075
ESPRESSO	3	0.32114882506527415	0.0043859649122807015	0.24849094567404426	0.0	0.3980660757453666
ESPRESSO	6	0.30541237113402064	0.0	0.23867069486404835	0.0	0.3853658536585366
ESPRESSO	9	0.3959731543624161	0.012048192771084338	0.29979879275653926	0.20107238605898123	0.4359912216532553
ESPRESSO	12	0.4494535519125683	0.003816793893129771	0.3319919517102616	0.18518518518518517	0.47176554681915656
ESPRESSO	15	0.5515873015873016	0.008438818565400843	0.4219536757301108	0.20793950850661624	0.5505913272010512
ESPRESSO	18	0.583224115334207	0.021645021645021644	0.45271629778672035	0.2946708463949843	0.5514705882352942
ESPRESSO	21	0.6147757255936676	0.02127659574468085	0.4743202416918429	0.12939001848428835	0.6140808344198174
ESPRESSO	24	0.6474622770919067	0.03773584905660377	0.48490945674044267	0.11882998171846434	0.6255678131083712
ESPRESSO	27	0.7144808743169399	0.06870229007633588	0.5442655935613682	0.13853503184713375	0.6670776818742293
ESPRESSO	30	0.7346938775510204	0.08527131782945736	0.5659617321248741	0.08469055374592833	0.6994399502177971
ESPRESSO	33	0.7738562091503268	0.1091703056768559	0.6207243460764588	0.11350574712643678	0.7301775147928994
ESPRESSO	36	0.7879581151832461	0.14847161572052403	0.6404833836858006	0.12033195020746888	0.7412587412587412
ESPRESSO	39	0.8203753351206434	0.17338709677419356	0.6589537223340041	0.10641200545702592	0.7585408222350898
ESPRESSO	42	0.7948387096774193	0.2511415525114155	0.6750503018108652	0.08458390177353342	0.7770700636942676
ESPRESSO	45	0.8658227848101265	0.2512315270935961	0.7401812688821753	0.07079646017699115	0.8239910313901345
ESPRESSO	48	0.879245283018868	0.3165829145728643	0.7665995975855131	0.05459057071960298	0.8466666666666667
ESPRESSO	51	0.8714285714285714	0.3273542600896861	0.7492447129909365	0.054637865311308764	0.8359550561797753
ESPRESSO	54	0.8875305623471883	0.44886363636363635	0.8098591549295775	0.03708133971291866	0.8797814207650273
ESPRESSO	57	0.9414694894146949	0.450261780104712	0.8470824949698189	0.036613272311212815	0.9014989293361885
ESPRESSO	60	0.9243379571248423	0.495	0.837865055387714	0.03592120509849363	0.896551724137931
