tool	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu	92.89319467497712	5.567451820128479	84.18725221103995	0.2060588533005567	91.32865744723087
Bambu + StringTie2	92.33765793841671	20.923829917405932	85.21805428484294	1.5848976860493784	91.34236634359218
ESPRESSO	78.75749466481487	30.13153869684919	73.90972857578531	4.016000633688463	83.5128103516601
ESPRESSO + StringTie2	78.68635886318214	36.2496176200673	74.45562671546203	4.3900528686117095	83.71710244320617
FLAIR	56.56989939365198	23.554603854389722	53.2784385483379	24.05338434117289	62.62434355564318
FLAIR + StringTie2	57.8198570509129	18.690731110431326	53.91887770661788	22.973031847688755	63.43397377249161
IsoQuant	88.65892076826665	35.82135209544203	83.39127782860628	0.4260587742616802	90.76695822475975
IsoQuant + StringTie2	87.5715592290234	40.10400734169471	82.83928026837451	1.5868990253976305	89.9571128148234
Isosceles + IsoQuant	99.05491006402222	52.00367084735393	94.36413540713632	3.8739942216285064	95.23692269810246
Isosceles	99.05491006402222	32.60936066075252	92.43061909118634	3.74134535984247	94.30580621071628
Isosceles + StringTie2	98.1572439957996	44.05016824717039	92.76303751143641	5.175047541852418	93.78266298734333
LIQA + StringTie2	69.22529724602825	1.8660140715815237	62.50991155840195	1.1668836491634118	76.58278690055857
NanoCount + StringTie2	60.096202703160465	15.081064545732639	55.60841720036597	2.209589188029604	70.89975892371102
