tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu	0	0.696969696969697	0.0	0.6247484909456741	0.0	0.7690402476780186
Bambu	3	0.6557562076749436	0.0	0.5845070422535211	0.0	0.7377777777777778
Bambu	6	0.6801801801801802	0.009523809523809525	0.6092648539778449	0.0	0.7571964956195244
Bambu	9	0.7410313901345291	0.0	0.6649899396378269	0.01195814648729447	0.7949488875526157
Bambu	12	0.8201357466063348	0.01818181818181818	0.7313883299798792	0.009536784741144414	0.8414351851851852
Bambu	15	0.8492520138089759	0.016129032258064516	0.7452165156092648	0.0	0.8540103866128101
Bambu	18	0.8589306029579067	0.0	0.7595573440643864	0.00395778364116095	0.8618721461187214
Bambu	21	0.9027149321266968	0.01834862385321101	0.8056394763343404	0.0024937655860349127	0.8913649025069638
Bambu	24	0.9159090909090909	0.0	0.8108651911468813	0.0	0.8955555555555555
Bambu	27	0.9187643020594966	0.025	0.8108651911468813	0.0012391573729863693	0.89505830094392
Bambu	30	0.9459148446490219	0.03225806451612903	0.8318227593152064	0.0012091898428053204	0.9076923076923077
Bambu	33	0.9482163406214039	0.008	0.829979879275654	0.0024183796856106408	0.9060955518945635
Bambu	36	0.9423076923076923	0.009174311926605505	0.8398791540785498	0.0023923444976076554	0.9119737561509021
Bambu	39	0.9785067873303167	0.02727272727272727	0.8732394366197183	0.0011507479861910242	0.9318303811057435
Bambu	42	0.96962879640045	0.01904761904761905	0.869215291750503	0.0023094688221709007	0.9290322580645162
Bambu	45	0.9758342922899885	0.04032258064516129	0.8590130916414904	0.00117096018735363	0.9236599891716297
Bambu	48	0.9804597701149426	0.03225806451612903	0.8621730382293763	0.002328288707799767	0.9249865083648138
Bambu	51	0.9764309764309764	0.049019607843137254	0.8811681772406847	0.002280501710376283	0.9358288770053476
Bambu	54	0.9932279909706546	0.05555555555555555	0.8913480885311871	0.0022522522522522522	0.9415515409139213
Bambu	57	0.9854910714285714	0.030612244897959183	0.8913480885311871	0.0011273957158962795	0.9420520999468368
Bambu	60	0.984375	0.041237113402061855	0.892245720040282	0.0011273957158962795	0.9425531914893617
Bambu	63	0.9878453038674033	0.056179775280898875	0.9044265593561368	0.0022197558268590455	0.9488126649076517
Bambu	66	0.9832962138084632	0.031578947368421054	0.892245720040282	0.0011273957158962795	0.9425531914893617
Bambu	69	0.9880694143167028	0.1111111111111111	0.9245472837022133	0.002171552660152009	0.9597911227154047
Bambu	72	0.9878048780487805	0.11956521739130435	0.9074446680080482	0.0011074197120708748	0.9509752240379546
Bambu	75	0.9967284623773174	0.09210526315789473	0.9274924471299094	0.004324324324324324	0.9603753910323254
Bambu	78	0.9945175438596491	0.17073170731707318	0.9265593561368209	0.0	0.9618798955613577
Bambu	81	0.9945945945945946	0.14705882352941177	0.9365558912386707	0.002145922746781116	0.9662337662337662
Bambu	84	0.99235807860262	0.1282051282051282	0.9245472837022133	0.005411255411255411	0.9582898852971846
Bambu	87	0.9901531728665208	0.175	0.9245472837022133	0.0	0.9607945635128071
Bambu	90	0.9956616052060737	0.23943661971830985	0.9415911379657603	0.0	0.9699170124481328
Bambu	93	0.9989212513484358	0.208955223880597	0.9456740442655935	0.0021231422505307855	0.9710743801652892
Bambu	99	1.0	0.3333333333333333	0.9577464788732394	0.0	0.9784172661870504
Bambu + StringTie2	0	0.6992143658810326	0.0	0.6267605633802817	0.017350157728706624	0.7653562653562653
Bambu + StringTie2	3	0.6636568848758465	0.0	0.5915492957746479	0.018363939899833055	0.7382297551789078
Bambu + StringTie2	6	0.6734234234234234	0.009523809523809525	0.6032225579053374	0.018032786885245903	0.7473487211478478
Bambu + StringTie2	9	0.7275784753363229	0.0	0.6529175050301811	0.021116138763197588	0.7833433916716959
Bambu + StringTie2	12	0.8201357466063348	0.0	0.7293762575452716	0.018944519621109608	0.8366993652625505
Bambu + StringTie2	15	0.8423475258918297	0.016129032258064516	0.7391742195367573	0.01871657754010695	0.8431935669155658
Bambu + StringTie2	18	0.8464163822525598	0.017391304347826087	0.7505030181086519	0.018421052631578946	0.8506271379703535
Bambu + StringTie2	21	0.8868778280542986	0.01834862385321101	0.7915407854984894	0.015037593984962405	0.8777219430485762
Bambu + StringTie2	24	0.8988636363636363	0.0	0.795774647887324	0.005031446540880503	0.8842929010620458
Bambu + StringTie2	27	0.9176201372997712	0.041666666666666664	0.8118712273641852	0.013447432762836185	0.890728476821192
Bambu + StringTie2	30	0.9367088607594937	0.056451612903225805	0.8267875125881168	0.009650180940892641	0.9012074643249177
Bambu + StringTie2	33	0.9355581127733027	0.048	0.823943661971831	0.017985611510791366	0.8960612691466083
Bambu + StringTie2	36	0.9321266968325792	0.1559633027522936	0.8469284994964753	0.011750881316098707	0.9121475054229935
Bambu + StringTie2	39	0.9728506787330317	0.09090909090909091	0.8752515090543259	0.01694915254237288	0.9260244811069718
Bambu + StringTie2	42	0.9606299212598425	0.13333333333333333	0.8732394366197183	0.015873015873015872	0.9253731343283582
Bambu + StringTie2	45	0.9677790563866513	0.24193548387096775	0.877139979859013	0.014705882352941176	0.9280767181672882
Bambu + StringTie2	48	0.9724137931034482	0.29838709677419356	0.8883299798792756	0.023230088495575223	0.9304531085353003
Bambu + StringTie2	51	0.9640852974186308	0.30392156862745096	0.8962739174219537	0.02305159165751921	0.9348739495798319
Bambu + StringTie2	54	0.9853273137697517	0.2962962962962963	0.9104627766599598	0.013086150490730643	0.9471480900052328
Bambu + StringTie2	57	0.9776785714285714	0.22448979591836735	0.903420523138833	0.0249728555917481	0.9378590078328982
Bambu + StringTie2	60	0.9821428571428571	0.35051546391752575	0.9204431017119838	0.023504273504273504	0.9476412649040954
Bambu + StringTie2	63	0.980110497237569	0.4943820224719101	0.9366197183098591	0.018967334035827187	0.9583118888317036
Bambu + StringTie2	66	0.9844097995545658	0.3157894736842105	0.9204431017119838	0.019313304721030045	0.9496103896103896
Bambu + StringTie2	69	0.9891540130151844	0.3333333333333333	0.9416498993963782	0.012658227848101266	0.9639546858908342
Bambu + StringTie2	72	0.9878048780487805	0.41304347826086957	0.9346076458752515	0.017970401691331923	0.9577319587628866
Bambu + StringTie2	75	0.990185387131952	0.4868421052631579	0.9516616314199395	0.014598540145985401	0.9682377049180327
Bambu + StringTie2	78	0.9923245614035088	0.5	0.9517102615694165	0.024742268041237112	0.9633401221995926
Bambu + StringTie2	81	0.9913513513513513	0.4852941176470588	0.9566968781470292	0.011446409989594173	0.9723643807574207
Bambu + StringTie2	84	0.9934497816593887	0.5	0.954728370221328	0.013513513513513514	0.9703476482617587
Bambu + StringTie2	87	0.9890590809628009	0.5125	0.9507042253521126	0.009433962264150943	0.9702258726899384
Bambu + StringTie2	90	0.9924078091106291	0.5211267605633803	0.9587109768378651	0.010395010395010396	0.9739130434782609
Bambu + StringTie2	93	0.9935275080906149	0.47761194029850745	0.9587525150905433	0.011410788381742738	0.9734422880490297
Bambu + StringTie2	99	0.9978517722878625	0.5714285714285714	0.9708249496981891	0.0030991735537190084	0.9836901121304791
ESPRESSO	0	0.3254769921436588	0.009708737864077669	0.29275653923541245	0.0	0.4529182879377432
ESPRESSO	3	0.3295711060948081	0.009259259259259259	0.2947686116700201	0.0	0.4553224553224553
ESPRESSO	6	0.30067567567567566	0.009523809523809525	0.26988922457200404	0.0	0.42505947660586835
ESPRESSO	9	0.3957399103139013	0.00980392156862745	0.3561368209255533	0.14285714285714285	0.5031982942430704
ESPRESSO	12	0.45701357466063347	0.00909090909090909	0.4074446680080483	0.12526997840172785	0.5559368565545642
ESPRESSO	15	0.5431530494821634	0.016129032258064516	0.4773413897280967	0.15508021390374332	0.61003861003861
ESPRESSO	18	0.5881683731513083	0.008695652173913044	0.5211267605633803	0.21036585365853658	0.6278787878787879
ESPRESSO	21	0.6142533936651584	0.03669724770642202	0.5508559919436052	0.09586776859504133	0.6846057571964956
ESPRESSO	24	0.6477272727272727	0.043859649122807015	0.5784708249496981	0.08146964856230032	0.7098765432098766
ESPRESSO	27	0.717391304347826	0.03333333333333333	0.6348088531187123	0.08284883720930232	0.7502972651605232
ESPRESSO	30	0.7387802071346375	0.056451612903225805	0.6535750251762337	0.05116959064327485	0.7740011926058438
ESPRESSO	33	0.7859608745684695	0.056	0.6941649899396378	0.11311053984575835	0.7787810383747178
ESPRESSO	36	0.7850678733031674	0.12844036697247707	0.7129909365558912	0.05220883534136546	0.8137931034482758
ESPRESSO	39	0.832579185520362	0.17272727272727273	0.7595573440643864	0.07248157248157248	0.8351769911504425
ESPRESSO	42	0.81214848143982	0.1523809523809524	0.7424547283702213	0.046511627906976744	0.834841628959276
ESPRESSO	45	0.856156501726122	0.28225806451612906	0.7844914400805639	0.052311435523114354	0.8584022038567493
ESPRESSO	48	0.871264367816092	0.3629032258064516	0.8078470824949698	0.03717026378896882	0.8785557986870897
ESPRESSO	51	0.8698092031425365	0.3235294117647059	0.8136958710976838	0.0380952380952381	0.8816148390616476
ESPRESSO	54	0.8905191873589164	0.3888888888888889	0.8360160965794768	0.02464788732394366	0.9003250270855905
ESPRESSO	57	0.9430803571428571	0.4897959183673469	0.8983903420523138	0.019758507135016465	0.9375328083989501
ESPRESSO	60	0.9296875	0.4536082474226804	0.8831822759315207	0.01901565995525727	0.9295177530471648
ESPRESSO	63	0.9337016574585635	0.4943820224719101	0.8943661971830986	0.019845644983461964	0.9352972119936875
ESPRESSO	66	0.9465478841870824	0.5789473684210527	0.9113796576032226	0.013086150490730643	0.9476439790575916
ESPRESSO	69	0.9511930585683297	0.6111111111111112	0.9265593561368209	0.014973262032085561	0.9548989113530326
ESPRESSO	72	0.967849223946785	0.5543478260869565	0.9295774647887324	0.00964630225080386	0.9590036325895174
ESPRESSO	75	0.9683751363140676	0.7368421052631579	0.9506545820745217	0.005268703898840885	0.972193614830072
ESPRESSO	78	0.9736842105263158	0.7073170731707317	0.9517102615694165	0.004210526315789474	0.9732510288065843
ESPRESSO	81	0.9751351351351352	0.8382352941176471	0.9657603222557906	0.005186721991701245	0.9800715380684721
ESPRESSO	84	0.9879912663755459	0.7051282051282052	0.96579476861167	0.007238883143743537	0.9790922998470168
ESPRESSO	87	0.9879649890590809	0.75	0.9688128772635815	0.004136504653567736	0.9821519632840388
ESPRESSO	90	0.9913232104121475	0.8450704225352113	0.9808660624370594	0.0020491803278688526	0.98933468765871
ESPRESSO	93	0.9924487594390508	0.8507462686567164	0.9828973843058351	0.007113821138211382	0.9878665318503539
