tool	mix	corr_spearman	mean_rel_diff
Isosceles	mix_A	0.9674462163265887	0.7109832756751844
Isosceles	mix_B	0.9767325489567935	0.7840718842719291
IsoQuant	mix_A	0.9681960737915659	0.7428685675932742
IsoQuant	mix_B	0.9774797896427321	0.7829530705411567
Bambu	mix_A	0.9693571010149581	0.7605923367727885
Bambu	mix_B	0.9763517914781806	0.8156697238430042
Flair	mix_A	0.6490389305383341	1.1848595074283672
Flair	mix_B	0.6531349097072343	1.1595841233620485
NanoCount	mix_A	0.9669548244547896	0.8263359388081225
NanoCount	mix_B	0.97493846354599345	0.791117452397385
LIQA	mix_A	0.8108483004175905	0.8711816358035784
LIQA	mix_B	0.772963607857269	0.8928701816805998
ESPRESSO	mix_A	0.8954397839311314	0.9124800446309683
ESPRESSO	mix_B	0.9384468154060214	0.9853939210579858
