platform	tool	mean_rel_diff
MM	Isosceles	0.35090102763185727
MM	IsoQuant	0.471339260469527
MM	Bambu	0.41454130459999816
MM	Flair	0.8092584781059728
MM	NanoCount	0.9414317108535225
MM	LIQA	0.5506749798180668
MM	ESPRESSO	0.44904250954969616
PP	Isosceles	0.3918194317409107
PP	IsoQuant	0.5428333170904858
PP	Bambu	0.4564834379519159
PP	Flair	0.8292713271922622
PP	NanoCount	0.9713984836006956
PP	LIQA	0.6348525045530512
PP	ESPRESSO	0.5087876813965365
MP	Isosceles	0.3547708879074412
MP	IsoQuant	0.5112277885640987
MP	Bambu	0.4033311619004042
MP	Flair	0.823958842760918
MP	NanoCount	0.7435176084068197
MP	LIQA	0.5170847452018508
MP	ESPRESSO	0.4331480633072379
