tool	platform	k_value	corr_spearman	mean_rel_diff
Isosceles	Promethion	1	0.5097915935327373	1.6632411159230285
Isosceles	Promethion	2	0.548519166651751	1.497422272419079
Isosceles	Promethion	4	0.5851468426007461	1.3316365328671684
Isosceles	Promethion	8	0.6189268504443087	1.1959428866803608
Isosceles	Promethion	16	0.643591468927895	1.0592980145083561
Isosceles	Promethion	32	0.6658488091058338	0.9483211561454966
Isosceles	Promethion	64	0.6703990703423213	0.8725396328186042
Isosceles	Promethion	128	0.6761189446486252	0.8152867639608247
Isosceles	Promethion	256	0.6785527542830989	0.7844852116538983
Isosceles	Promethion	512	0.6798132649197752	0.7660689760789147
Isosceles	Promethion	800	0.6807521558204838	0.7584682925732907
Isosceles	MinION	1	0.5224088728138799	1.6582758322222735
Isosceles	MinION	2	0.5611127475090621	1.488860037388647
Isosceles	MinION	4	0.5978174188573417	1.320487683724301
Isosceles	MinION	8	0.6350515696824494	1.1790531251036793
Isosceles	MinION	16	0.6556891538800692	1.0429207003171546
Isosceles	MinION	32	0.6752650464727415	0.9323674444359434
Isosceles	MinION	64	0.6810823544359098	0.857642739200326
Isosceles	MinION	128	0.686588148169546	0.801800184543319
Isosceles	MinION	256	0.6893169014788851	0.7732286365058473
Isosceles	MinION	512	0.6911891412163144	0.7546803125272493
Isosceles	MinION	800	0.6915383339858511	0.7471357170255866
IsoQuant	Promethion	1	0.3031901448172507	1.8630234259792644
IsoQuant	Promethion	2	0.3244812890579055	1.793297450611551
IsoQuant	Promethion	4	0.34032266516834947	1.696385560982703
IsoQuant	Promethion	8	0.3392737875308346	1.5826065801547835
IsoQuant	Promethion	16	0.33376706766375885	1.4668379074349573
IsoQuant	Promethion	32	0.3323736080422517	1.3769194937435316
IsoQuant	Promethion	64	0.32891304191990817	1.3020302053218595
IsoQuant	Promethion	128	0.3247646623628881	1.2593973105990859
IsoQuant	Promethion	256	0.3236756807165387	1.234160554666666
IsoQuant	Promethion	512	0.3224731479271576	1.2203117197143651
IsoQuant	Promethion	800	0.32270121712476985	1.215524220956281
IsoQuant	MinION	1	0.3404554766524075	1.85902333173741
IsoQuant	MinION	2	0.3675053636970879	1.7906082799097105
IsoQuant	MinION	4	0.3784835185199973	1.6966709487315401
IsoQuant	MinION	8	0.3841034672054517	1.583240242774571
IsoQuant	MinION	16	0.3783329528769136	1.4681636244842617
IsoQuant	MinION	32	0.376281617154767	1.3813462870920141
IsoQuant	MinION	64	0.3731018872390571	1.304452060514305
IsoQuant	MinION	128	0.3686691097574984	1.261652261977775
IsoQuant	MinION	256	0.36747298538961354	1.2349026073379434
IsoQuant	MinION	512	0.3660379109596067	1.2224128342391518
IsoQuant	MinION	800	0.3656927131510239	1.2177577113143703
FLAMES	Promethion	1	0.506459221144708	1.7342458912283365
FLAMES	Promethion	2	0.5282051097612923	1.6514383986290802
FLAMES	Promethion	4	0.5529426443776265	1.5414558745692621
FLAMES	Promethion	8	0.5581388621089513	1.4442651645685918
FLAMES	Promethion	16	0.5566601193049441	1.3281974259903073
FLAMES	Promethion	32	0.5574969962755931	1.2654372687931454
FLAMES	Promethion	64	0.5586913052626813	1.206825272046731
FLAMES	Promethion	128	0.5600501231441245	1.169702073664974
FLAMES	Promethion	256	0.5591784166896694	1.153178109454323
FLAMES	Promethion	512	0.5594952959994558	1.1448548161214849
FLAMES	Promethion	800	0.5593945171075966	1.1424559600990216
FLAMES	MinION	1	0.5194740379788761	1.7282711643072919
FLAMES	MinION	2	0.533780227968843	1.6371439407319182
FLAMES	MinION	4	0.5624564832873525	1.5149586100348795
FLAMES	MinION	8	0.5734829786784472	1.4059379577122217
FLAMES	MinION	16	0.5757723822933505	1.2759026754541654
FLAMES	MinION	32	0.5767693273468606	1.200700324333214
FLAMES	MinION	64	0.5781982468001164	1.1397887416352068
FLAMES	MinION	128	0.5793974032785332	1.1002923043306128
FLAMES	MinION	256	0.5790377891910713	1.0809565830361356
FLAMES	MinION	512	0.5801942997216215	1.0726563335334478
FLAMES	MinION	800	0.5799661674002494	1.0707797227771383
Sicelore	Promethion	1	0.4548527736437701	1.8699771333991948
Sicelore	Promethion	2	0.49345255912156555	1.7931995187523373
Sicelore	Promethion	4	0.5390157026512933	1.721699307888648
Sicelore	Promethion	8	0.5509952206109239	1.6167575983299847
Sicelore	Promethion	16	0.5536890095173487	1.5323550600879734
Sicelore	Promethion	32	0.5482166069950799	1.44298204910963
Sicelore	Promethion	64	0.5532504759052025	1.3642159266710614
Sicelore	Promethion	128	0.5509672624653938	1.3189110437379479
Sicelore	Promethion	256	0.5533017232690053	1.2924689888359286
Sicelore	Promethion	512	0.5523458150795943	1.2758359745304413
Sicelore	Promethion	800	0.5518513656074021	1.270248436488492
Sicelore	MinION	1	0.48209689175115916	1.86050226474649
Sicelore	MinION	2	0.5328328879027577	1.7783171174018746
Sicelore	MinION	4	0.5774309133315322	1.7009200667786926
Sicelore	MinION	8	0.594874203972753	1.5876618299098966
Sicelore	MinION	16	0.5991665602504392	1.49602597531341
Sicelore	MinION	32	0.5980832247014906	1.399379570305261
Sicelore	MinION	64	0.6002337423298167	1.3121783182365179
Sicelore	MinION	128	0.5986390557398665	1.2623038921666507
Sicelore	MinION	256	0.5984784735745716	1.2344072907393873
Sicelore	MinION	512	0.5981263313956495	1.2185365636239316
Sicelore	MinION	800	0.5980043942886202	1.2147582884314576
