tpm_bulk	tpm_pseudobulk	status
9376.489191179657	23059.677711755718	Correct vs Correct
9376.489191179657	8848.491493164609	Correct vs Decoy
9376.489191179657	866.696128614273	Correct vs Decoy
0	3143.8361331716374	Correct vs Correct
0	432.61309131208856	Correct vs Decoy
0	9602.783343606876	Correct vs Decoy
5030.758566910714	6850.680169848224	Correct vs Correct
5030.758566910714	430.8672757700705	Correct vs Decoy
5030.758566910714	1926.468127464399	Correct vs Decoy
2534.332625741888	5926.784200196603	Correct vs Correct
2534.332625741888	221.36941072789685	Correct vs Decoy
2534.332625741888	519.1595621897378	Correct vs Decoy
3075.856691071351	6344.536064597275	Correct vs Correct
3075.856691071351	779.3320579568862	Correct vs Decoy
3075.856691071351	205.94759491824306	Correct vs Decoy
0	211.69097171786098	Correct vs Correct
0	164.45582405810634	Correct vs Decoy
0	5286.465000112032	Correct vs Decoy
349.2830221375038	2896.1126556294594	Correct vs Correct
349.2830221375038	2608.9467459918696	Correct vs Decoy
349.2830221375038	8559.696913789478	Correct vs Decoy
0	175.09545799003925	Correct vs Correct
0	3871.5205459793697	Correct vs Decoy
0	103.927258546706	Correct vs Decoy
0	306.27629950669245	Correct vs Correct
0	5297.153517591361	Correct vs Decoy
0	4079.859993773899	Correct vs Decoy
29161.070917991598	24712.105908542744	Correct vs Correct
29161.070917991598	11160.649597013398	Correct vs Decoy
29161.070917991598	37413.813076814164	Correct vs Decoy
1787.0294155872289	5065.38210783403	Correct vs Correct
1787.0294155872289	1022.6987445142112	Correct vs Decoy
1787.0294155872289	4459.337506632513	Correct vs Decoy
154.33435861889703	276.43688062093014	Correct vs Correct
154.33435861889703	3156.4344999687496	Correct vs Decoy
154.33435861889703	364.2221354572632	Correct vs Decoy
121.84291469912921	240.96738270011838	Correct vs Correct
121.84291469912921	1395.2557811808767	Correct vs Decoy
121.84291469912921	2962.403599124913	Correct vs Decoy
909.7604297534983	2623.053822429559	Correct vs Correct
909.7604297534983	4810.420144476712	Correct vs Decoy
909.7604297534983	2226.808370053504	Correct vs Decoy
3408.893991248971	4752.912721388782	Correct vs Correct
3408.893991248971	790.8544405342055	Correct vs Decoy
3408.893991248971	3114.0039120508422	Correct vs Decoy
0	2356.1880761682137	Correct vs Correct
0	251.74660115901202	Correct vs Decoy
0	2246.354322348985	Correct vs Decoy
157.04197894554434	310.7803627347321	Correct vs Correct
157.04197894554434	237.43091371446351	Correct vs Decoy
157.04197894554434	3094.4579597553607	Correct vs Decoy
1424.2082918164886	1771.2228644265708	Correct vs Correct
1424.2082918164886	2497.563714411114	Correct vs Decoy
1424.2082918164886	1847.3308571948885	Correct vs Decoy
40.614304899709744	106.40849376243544	Correct vs Correct
40.614304899709744	38.407941924398514	Correct vs Decoy
40.614304899709744	2053.7551826569243	Correct vs Decoy
5095.741454750249	3424.2140691171026	Correct vs Correct
5095.741454750249	394.5543124960937	Correct vs Decoy
5095.741454750249	753.2342591917223	Correct vs Decoy
768.9641727678378	3084.720303303618	Correct vs Correct
768.9641727678378	343.2273355607612	Correct vs Decoy
768.9641727678378	708.4215880752529	Correct vs Decoy
1058.6795477191008	844.5118552574241	Correct vs Correct
1058.6795477191008	2865.5816306685324	Correct vs Decoy
1058.6795477191008	436.2084475698898	Correct vs Decoy
701.2736646016549	1686.7716789008282	Correct vs Correct
701.2736646016549	357.8921861137133	Correct vs Decoy
701.2736646016549	2928.0789999718722	Correct vs Decoy
1424.2082918164886	7107.411773846481	Correct vs Correct
1424.2082918164886	1925.285379737576	Correct vs Decoy
1424.2082918164886	3727.5561219114416	Correct vs Decoy
1971.1475977992461	2187.8487130202334	Correct vs Correct
1971.1475977992461	106.14558495470133	Correct vs Decoy
1971.1475977992461	592.5760659337411	Correct vs Decoy
1177.8148420915825	894.6195586693647	Correct vs Correct
1177.8148420915825	2409.225447984997	Correct vs Decoy
1177.8148420915825	311.3050450963258	Correct vs Decoy
249.1010700515531	193.11171090219764	Correct vs Correct
249.1010700515531	77.86337317400789	Correct vs Decoy
249.1010700515531	1951.2581157415948	Correct vs Decoy
0	188.60764767415804	Correct vs Correct
0	100.90813832864698	Correct vs Decoy
0	1841.1333601255894	Correct vs Decoy
0	2319.5925624403917	Correct vs Correct
0	1186.805405463914	Correct vs Decoy
0	4753.9569826961115	Correct vs Decoy
755.4260711346011	489.8168760493059	Correct vs Correct
755.4260711346011	518.8563790877835	Correct vs Decoy
755.4260711346011	1413.9827928877523	Correct vs Decoy
14764.653641207819	13601.70794077607	Correct vs Correct
14764.653641207819	5739.543175938752	Correct vs Decoy
14764.653641207819	4691.0285509155365	Correct vs Decoy
736.4727288480701	671.1054209778996	Correct vs Correct
736.4727288480701	931.5671732208656	Correct vs Decoy
736.4727288480701	1553.1881116750833	Correct vs Decoy
0	1924.924022083422	Correct vs Correct
0	333.1016054170561	Correct vs Decoy
0	1936.0027383402435	Correct vs Decoy
6213.988649655591	3729.9273607202895	Correct vs Correct
6213.988649655591	1144.9058324554792	Correct vs Decoy
6213.988649655591	2930.9393832346263	Correct vs Decoy
324.91443919767795	806.7903257225925	Correct vs Correct
324.91443919767795	88.68742953452019	Correct vs Decoy
324.91443919767795	833.8017210926091	Correct vs Decoy
444.0497335701599	1717.1741056900958	Correct vs Correct
444.0497335701599	171.08992311777516	Correct vs Decoy
444.0497335701599	418.0926869057852	Correct vs Decoy
192.24104319195945	611.426583206375	Correct vs Correct
192.24104319195945	181.56481636988383	Correct vs Decoy
192.24104319195945	1967.9436847743225	Correct vs Decoy
235.56296841831653	649.1481127412068	Correct vs Correct
235.56296841831653	769.5554909215846	Correct vs Decoy
235.56296841831653	2906.14939495743	Correct vs Decoy
1148.0310184984621	2318.4665466333818	Correct vs Correct
1148.0310184984621	565.9933987222727	Correct vs Decoy
1148.0310184984621	1199.4540481812492	Correct vs Decoy
1091.1709916388686	1528.0034501124328	Correct vs Correct
1091.1709916388686	234.2884457388309	Correct vs Decoy
1091.1709916388686	1442.586625515286	Correct vs Decoy
406.1430489970974	378.90431905883094	Correct vs Correct
406.1430489970974	1925.285379737576	Correct vs Decoy
406.1430489970974	480.54438814256724	Correct vs Decoy
111.01243339253998	1052.2617716507505	Correct vs Correct
111.01243339253998	77.51421006560425	Correct vs Decoy
111.01243339253998	983.4951118433693	Correct vs Decoy
4031.6466663778547	904.7537009324537	Correct vs Correct
4031.6466663778547	1188.9003841143358	Correct vs Decoy
4031.6466663778547	201.657020024113	Correct vs Decoy
1324.0263397305378	1665.9403864711453	Correct vs Correct
1324.0263397305378	370.81122112464743	Correct vs Decoy
1324.0263397305378	313.6886978152869	Correct vs Decoy
0	547.243682206811	Correct vs Correct
0	350.21059772883365	Correct vs Decoy
0	1221.3836531956915	Correct vs Decoy
622.7526751288826	220.1360902704352	Correct vs Correct
622.7526751288826	900.1424934645397	Correct vs Decoy
622.7526751288826	103.45052800291379	Correct vs Decoy
7990.18758393623	4675.2176307050995	Correct vs Correct
7990.18758393623	2035.6209219931209	Correct vs Decoy
7990.18758393623	7159.062576127908	Correct vs Decoy
88525.646579734	30061.80700764677	Correct vs Correct
88525.646579734	16415.554378487923	Correct vs Decoy
88525.646579734	21615.439586083474	Correct vs Decoy
473.8335571632804	789.337080713939	Correct vs Correct
473.8335571632804	1110.3386847235206	Correct vs Decoy
473.8335571632804	3375.2522500489836	Correct vs Decoy
36596.19633496513	5715.093228478741	Correct vs Correct
36596.19633496513	2597.0752003061466	Correct vs Decoy
36596.19633496513	8833.81697647001	Correct vs Decoy
779.7946540744272	1678.8895682517593	Correct vs Correct
779.7946540744272	260.12651576069896	Correct vs Decoy
779.7946540744272	319.40946434079365	Correct vs Decoy
1516.2673829224968	795.5301676524934	Correct vs Correct
1516.2673829224968	999.6539793595723	Correct vs Decoy
1516.2673829224968	1936.0027383402435	Correct vs Decoy
0	19.705276622673228	Correct vs Correct
0	674.932288544203	Correct vs Decoy
0	14.77864685755911	Correct vs Decoy
685.027942641771	1142.9060441150473	Correct vs Correct
685.027942641771	198.32464557325775	Correct vs Decoy
685.027942641771	286.9917873629221	Correct vs Decoy
1305.0729974440067	804.5382941085726	Correct vs Correct
1305.0729974440067	41.899573008434736	Correct vs Decoy
1305.0729974440067	159.2280016266046	Correct vs Decoy
0	45.6036401839009	Correct vs Correct
0	75.0700683067789	Correct vs Decoy
0	1170.8502155537153	Correct vs Decoy
3657.995061300524	2120.2877645996396	Correct vs Correct
3657.995061300524	1577.1697606591645	Correct vs Decoy
3657.995061300524	1746.263981910936	Correct vs Decoy
893.5147077936144	1092.7983407031068	Correct vs Correct
893.5147077936144	64.24601194626659	Correct vs Decoy
893.5147077936144	82.9511146198479	Correct vs Decoy
425.0963912836287	896.3085823798796	Correct vs Correct
425.0963912836287	493.7166352827226	Correct vs Decoy
425.0963912836287	137.29839661216204	Correct vs Decoy
0	1074.2190798874435	Correct vs Correct
0	2445.887574367378	Correct vs Decoy
0	423.8134534312919	Correct vs Decoy
18054.4123380843	18658.081922154026	Correct vs Correct
18054.4123380843	15248.651270203016	Correct vs Decoy
18054.4123380843	7024.624562778499	Correct vs Decoy
4102.044794870685	1534.759544954492	Correct vs Correct
4102.044794870685	531.7754140987176	Correct vs Decoy
4102.044794870685	231.6910442830235	Correct vs Decoy
173.28770090542824	119.35767554304928	Correct vs Correct
173.28770090542824	127.4445345673223	Correct vs Decoy
173.28770090542824	1052.6210406932425	Correct vs Decoy
0	5007.39229377302	Correct vs Correct
0	13068.476821330794	Correct vs Decoy
0	4334.910834702742	Correct vs Decoy
974.7433175930337	11474.10107343087	Correct vs Correct
974.7433175930337	6382.701621618225	Correct vs Decoy
974.7433175930337	11826.254599853833	Correct vs Decoy
452.17259455010173	945.8532778883149	Correct vs Correct
452.17259455010173	39.10626814120575	Correct vs Decoy
452.17259455010173	129.6707079114864	Correct vs Decoy
311.3763375644413	181.28854492859372	Correct vs Correct
311.3763375644413	230.0984884379874	Correct vs Decoy
311.3763375644413	1284.7888155200583	Correct vs Decoy
2829.4632413464456	1158.107257509681	Correct vs Correct
2829.4632413464456	1086.5955933520743	Correct vs Decoy
2829.4632413464456	328.9440752166383	Correct vs Decoy
203.0715244985487	112.6015807009899	Correct vs Correct
203.0715244985487	43.994551658856466	Correct vs Decoy
203.0715244985487	981.5881896682005	Correct vs Decoy
0	1882.1354214170458	Correct vs Correct
0	656.0774806904072	Correct vs Decoy
0	2802.222136410724	Correct vs Decoy
92.05909110600876	176.7844817005541	Correct vs Correct
92.05909110600876	736.7341587316441	Correct vs Decoy
92.05909110600876	897.6836139607678	Correct vs Decoy
0	3139.3320699435976	Correct vs Correct
0	6818.80634401435	Correct vs Decoy
0	4092.2549879124967	Correct vs Decoy
4713.966988692977	7314.598682336303	Correct vs Correct
4713.966988692977	25752.874223417606	Correct vs Decoy
4713.966988692977	12252.451706004087	Correct vs Decoy
1754.537971667461	1903.529721750234	Correct vs Correct
1754.537971667461	573.3258239987487	Correct vs Decoy
1754.537971667461	1965.08330151157	Correct vs Decoy
1719.3389074210459	1330.3876759821953	Correct vs Correct
1719.3389074210459	987.0841074570418	Correct vs Decoy
1719.3389074210459	1556.525225481629	Correct vs Decoy
457.58783520339637	480.2457416897218	Correct vs Correct
457.58783520339637	229.05099911277657	Correct vs Decoy
457.58783520339637	500.5670709818408	Correct vs Decoy
1172.399601438288	1041.0016135806516	Correct vs Correct
1172.399601438288	2272.702672599181	Correct vs Decoy
1172.399601438288	1198.5005870936645	Correct vs Decoy
2677.836503054196	3626.896914378884	Correct vs Correct
2677.836503054196	3317.0495298344167	Correct vs Decoy
2677.836503054196	6492.116545362579	Correct vs Decoy
408.85066932374474	485.3128128212664	Correct vs Correct
408.85066932374474	255.58739535145187	Correct vs Decoy
408.85066932374474	1495.9804464200158	Correct vs Decoy
592.9688515357623	1060.1438822998198	Correct vs Correct
592.9688515357623	95.32152859418903	Correct vs Decoy
592.9688515357623	651.2139228201853	Correct vs Decoy
831.2394402807262	1602.320493375086	Correct vs Correct
831.2394402807262	334.49825785067065	Correct vs Decoy
831.2394402807262	1288.6026598703959	Correct vs Decoy
657.9517393752978	849.5789263889686	Correct vs Correct
657.9517393752978	635.4768572945934	Correct vs Decoy
657.9517393752978	2618.680877050716	Correct vs Decoy
0	21.394300333188077	Correct vs Correct
0	27.5838855638862	Correct vs Decoy
0	552.5307002551939	Correct vs Decoy
89.35147077936145	186.9186239636432	Correct vs Correct
89.35147077936145	71.22927411433905	Correct vs Decoy
89.35147077936145	917.7062968000415	Correct vs Decoy
5474.808300480874	1540.3896239895416	Correct vs Correct
5474.808300480874	714.0385566854086	Correct vs Decoy
5474.808300480874	2083.7892069158343	Correct vs Decoy
27.076203266473165	99.0893910168711	Correct vs Correct
27.076203266473165	814.9466950140556	Correct vs Decoy
27.076203266473165	95.34610875844585	Correct vs Decoy
541.5240653294633	525.2863739701177	Correct vs Correct
541.5240653294633	818.7874892064955	Correct vs Decoy
541.5240653294633	148.73992966317553	Correct vs Decoy
3124.593856951003	1698.5948448744323	Correct vs Correct
3124.593856951003	1158.174030574817	Correct vs Decoy
3124.593856951003	1665.219789466257	Correct vs Decoy
0	14502.520586383993	Correct vs Correct
0	32010.22628911892	Correct vs Decoy
0	12205.255382168654	Correct vs Decoy
0	352.44294759409837	Correct vs Correct
0	407.8225106154314	Correct vs Decoy
0	807.1048106402443	Correct vs Decoy
6655.330762899103	2704.6899684377768	Correct vs Correct
6655.330762899103	2766.7684709903074	Correct vs Decoy
6655.330762899103	5464.285492946533	Correct vs Decoy
1689.5550838279253	1539.263608182532	Correct vs Correct
1689.5550838279253	2296.445763970627	Correct vs Decoy
1689.5550838279253	1668.0801727290104	Correct vs Decoy
2233.786769484036	838.8817762223746	Correct vs Correct
2233.786769484036	229.7493253295838	Correct vs Decoy
2233.786769484036	151.12358238213668	Correct vs Decoy
1648.9407789282157	1391.19252956073	Correct vs Correct
1648.9407789282157	352.654739487659	Correct vs Decoy
1648.9407789282157	306.06100911461124	Correct vs Decoy
124.55053502577655	216.75804284940554	Correct vs Correct
124.55053502577655	1206.7077026429204	Correct vs Decoy
124.55053502577655	333.7113806545605	Correct vs Decoy
0	382.84537438336554	Correct vs Correct
0	193.0871989472034	Correct vs Decoy
0	248.3766133157515	Correct vs Decoy
216.60962613178532	229.14421672651443	Correct vs Correct
216.60962613178532	55.51693423617603	Correct vs Decoy
216.60962613178532	836.1853738115703	Correct vs Decoy
159.74959927219166	273.05883319990045	Correct vs Correct
159.74959927219166	571.2308453483269	Correct vs Decoy
159.74959927219166	1297.183809658656	Correct vs Decoy
0	1546.582710928096	Correct vs Correct
0	1078.5648418587907	Correct vs Decoy
0	1096.95698126592	Correct vs Decoy
5079.495732790366	2697.3708656922126	Correct vs Correct
5079.495732790366	880.5893593939367	Correct vs Decoy
5079.495732790366	824.7438407605567	Correct vs Decoy
398.02018801715553	403.11365890954374	Correct vs Correct
398.02018801715553	275.83885563886196	Correct vs Decoy
398.02018801715553	1242.836527666342	Correct vs Decoy
