tpm_bulk	tpm_pseudobulk	status
5936.861589859932	17630.913032368677	Correct vs Correct
5936.861589859932	8267.12661533648	Correct vs Decoy
5936.861589859932	131.53455069513151	Correct vs Decoy
10880.483978374474	46195.629775554116	Correct vs Correct
10880.483978374474	5233.383594360493	Correct vs Decoy
10880.483978374474	29287.270641733383	Correct vs Decoy
112.86809106197586	454.3731093545223	Correct vs Correct
112.86809106197586	10494.282349574614	Correct vs Decoy
112.86809106197586	700.1559623958243	Correct vs Decoy
17031.79494125216	17367.14995755063	Correct vs Correct
17031.79494125216	8452.657414235244	Correct vs Decoy
17031.79494125216	24787.31843534342	Correct vs Decoy
1320.5566654251177	6076.853965925107	Correct vs Correct
1320.5566654251177	263.35939674189046	Correct vs Decoy
1320.5566654251177	1566.97682132461	Correct vs Decoy
1027.0996286639804	1539.3048194459327	Correct vs Correct
1027.0996286639804	3206.695460627377	Correct vs Decoy
1027.0996286639804	13276.002787552094	Correct vs Decoy
711.0689736904479	2649.994642312543	Correct vs Correct
711.0689736904479	39.307372648043355	Correct vs Decoy
711.0689736904479	4869.229330080645	Correct vs Decoy
1422.1379473808959	2093.6194063682296	Correct vs Correct
1422.1379473808959	400.93520101004225	Correct vs Decoy
1422.1379473808959	6594.701200068953	Correct vs Decoy
1862.3235025226018	5314.413827779197	Correct vs Correct
1862.3235025226018	0.7861474529608673	Correct vs Decoy
1862.3235025226018	210.78207502698092	Correct vs Decoy
462.759173354101	2100.8316779452853	Correct vs Correct
462.759173354101	92.76539944938231	Correct vs Decoy
462.759173354101	5919.871766067844	Correct vs Decoy
0	2.0606490220159746	Correct vs Correct
0	5744.379438785056	Correct vs Decoy
0	3330.8469762984546	Correct vs Decoy
744.9294010090407	1837.068603127241	Correct vs Correct
744.9294010090407	4959.01813327715	Correct vs Decoy
744.9294010090407	1406.8478030870588	Correct vs Decoy
0	69.03174223753513	Correct vs Correct
0	4110.765031532374	Correct vs Decoy
0	0	Correct vs Decoy
451.47236424790344	819.1079862513498	Correct vs Correct
451.47236424790344	4815.939296838272	Correct vs Decoy
451.47236424790344	66.17576774102888	Correct vs Decoy
1783.3158387792184	4881.677533155843	Correct vs Correct
1783.3158387792184	551.8755119785286	Correct vs Decoy
1783.3158387792184	13.07175659082052	Correct vs Decoy
5869.140735222745	12171.223448537352	Correct vs Correct
5869.140735222745	5591.866832910648	Correct vs Decoy
5869.140735222745	3267.939147705131	Correct vs Decoy
0	1.0303245110079873	Correct vs Correct
0	0	Correct vs Decoy
0	4261.39264860749	Correct vs Decoy
0	5.1516225550399355	Correct vs Correct
0	0.7861474529608673	Correct vs Decoy
0	4356.162883890939	Correct vs Decoy
3284.4614499034974	7133.966914219303	Correct vs Correct
3284.4614499034974	2525.105618910305	Correct vs Decoy
3284.4614499034974	10301.361178353498	Correct vs Decoy
1670.4477477172427	4400.515986515114	Correct vs Correct
1670.4477477172427	760.2045870131585	Correct vs Decoy
1670.4477477172427	3705.0260087106917	Correct vs Decoy
2991.004413142361	4927.0118116401945	Correct vs Correct
2991.004413142361	2478.722919185614	Correct vs Decoy
2991.004413142361	2629.874029115704	Correct vs Decoy
1975.1915935845775	1654.7011646788271	Correct vs Correct
1975.1915935845775	1950.4318307959113	Correct vs Decoy
1975.1915935845775	5152.723051144064	Correct vs Decoy
586.9140735222744	537.8293947461693	Correct vs Correct
586.9140735222744	3082.4841630595597	Correct vs Decoy
586.9140735222744	93.9532504965225	Correct vs Decoy
665.9217372656576	6161.340575827762	Correct vs Correct
665.9217372656576	1611.6022785697776	Correct vs Decoy
665.9217372656576	2709.9385382344794	Correct vs Decoy
338.6042731859276	1069.4768424262907	Correct vs Correct
338.6042731859276	169.80784983954726	Correct vs Decoy
338.6042731859276	3877.4097987521377	Correct vs Decoy
0	112.30537169987059	Correct vs Correct
0	3678.3839324038972	Correct vs Decoy
0	219.76890768317003	Correct vs Decoy
10203.275432002618	8012.833722109116	Correct vs Correct
10203.275432002618	2124.1704179002627	Correct vs Decoy
10203.275432002618	10119.990555655862	Correct vs Decoy
33.860427318592755	29.879410819231627	Correct vs Correct
33.860427318592755	1586.4455600750298	Correct vs Decoy
33.860427318592755	3311.239341412224	Correct vs Decoy
812.6502556462262	2337.806315477122	Correct vs Correct
812.6502556462262	77.04245039016499	Correct vs Decoy
812.6502556462262	2164.192700567723	Correct vs Decoy
699.7821645842504	2639.691397202463	Correct vs Correct
699.7821645842504	1.5722949059217346	Correct vs Decoy
699.7821645842504	235.2916186347694	Correct vs Decoy
11636.70018848971	18180.075996735934	Correct vs Correct
11636.70018848971	17774.007763992246	Correct vs Decoy
11636.70018848971	5298.146343216943	Correct vs Decoy
270.88341854874204	2966.3042671919948	Correct vs Correct
270.88341854874204	192.60612597541245	Correct vs Decoy
270.88341854874204	509.7985070420004	Correct vs Decoy
225.73618212395172	174.12484236034982	Correct vs Correct
225.73618212395172	1665.8464528240775	Correct vs Decoy
225.73618212395172	2773.66335161473	Correct vs Decoy
7979.774038081694	5964.548594225238	Correct vs Correct
7979.774038081694	1326.2307531449828	Correct vs Decoy
7979.774038081694	3950.121444788577	Correct vs Decoy
2279.9354394519123	3789.5335514873764	Correct vs Correct
2279.9354394519123	522.7880562189766	Correct vs Decoy
2279.9354394519123	2286.7404186066656	Correct vs Decoy
270.88341854874204	563.5875075213689	Correct vs Correct
270.88341854874204	555.8062492433331	Correct vs Decoy
270.88341854874204	4312.04570539692	Correct vs Decoy
56.43404553098793	156.60932567321402	Correct vs Correct
56.43404553098793	0.7861474529608673	Correct vs Decoy
56.43404553098793	2504.8753567159824	Correct vs Decoy
1602.7268930800572	2490.294343106305	Correct vs Correct
1602.7268930800572	190.24768361652986	Correct vs Decoy
1602.7268930800572	2245.8911792603512	Correct vs Decoy
169.3021365929638	243.15658459788497	Correct vs Correct
169.3021365929638	562.09542886702	Correct vs Decoy
169.3021365929638	3195.2275016686917	Correct vs Decoy
1410.851138274698	3619.530007171059	Correct vs Correct
1410.851138274698	11766.268928465299	Correct vs Decoy
1410.851138274698	2892.126145719041	Correct vs Decoy
462.759173354101	2222.4099702442286	Correct vs Correct
462.759173354101	1379.688779946322	Correct vs Decoy
462.759173354101	5046.515028843649	Correct vs Decoy
790.0766374338311	1103.477551289554	Correct vs Correct
790.0766374338311	2106.8751739351237	Correct vs Decoy
790.0766374338311	1224.6601956024979	Correct vs Decoy
1422.1379473808959	4817.797413473347	Correct vs Correct
1422.1379473808959	22781.76703935297	Correct vs Decoy
1422.1379473808959	8103.672101521799	Correct vs Decoy
5000.056434045531	2456.293634243041	Correct vs Correct
5000.056434045531	172.16629219842991	Correct vs Decoy
5000.056434045531	346.4015496567439	Correct vs Decoy
1286.6962381065246	2171.9240692048365	Correct vs Correct
1286.6962381065246	867.1206406158365	Correct vs Decoy
1286.6962381065246	5248.31027121444	Correct vs Decoy
4740.4598246029855	7076.268741602855	Correct vs Correct
4740.4598246029855	17472.12714205527	Correct vs Decoy
4740.4598246029855	3781.8225786817625	Correct vs Decoy
349.8910822921252	1544.4564420009726	Correct vs Correct
349.8910822921252	312.1005388254643	Correct vs Decoy
349.8910822921252	2711.572507808332	Correct vs Decoy
349.8910822921252	321.461247434492	Correct vs Correct
349.8910822921252	1554.213514503634	Correct vs Decoy
349.8910822921252	28.594467542419896	Correct vs Decoy
2776.555040124606	6202.5535562680825	Correct vs Correct
2776.555040124606	29158.995177771525	Correct vs Decoy
2776.555040124606	13440.216729724276	Correct vs Decoy
677.2085463718552	2238.895162420356	Correct vs Correct
677.2085463718552	10875.563864260637	Correct vs Decoy
677.2085463718552	3593.0990929017908	Correct vs Decoy
3307.0350681158925	5165.01677368304	Correct vs Correct
3307.0350681158925	2132.8180398828326	Correct vs Decoy
3307.0350681158925	9160.033431017482	Correct vs Decoy
4627.591733541011	2570.6596549649275	Correct vs Correct
4627.591733541011	695.7404958703675	Correct vs Decoy
4627.591733541011	1879.0650099304503	Correct vs Decoy
711.0689736904479	1622.7611048375795	Correct vs Correct
711.0689736904479	220.90743428200366	Correct vs Decoy
711.0689736904479	58.00591987176607	Correct vs Decoy
3995.530423593946	4049.175328261389	Correct vs Correct
3995.530423593946	5712.933540666621	Correct vs Decoy
3995.530423593946	1248.35275442336	Correct vs Decoy
1444.711565593291	1855.614444325385	Correct vs Correct
1444.711565593291	1.5722949059217346	Correct vs Decoy
1444.711565593291	398.68857602002595	Correct vs Decoy
2686.2605672750256	3789.5335514873764	Correct vs Correct
2686.2605672750256	3415.810683114968	Correct vs Decoy
2686.2605672750256	2936.2433242130605	Correct vs Decoy
1015.8128195577827	1580.5177998862523	Correct vs Correct
1015.8128195577827	5269.546377196692	Correct vs Decoy
1015.8128195577827	1127.43900595827	Correct vs Decoy
993.2392013453875	1926.706835584936	Correct vs Correct
993.2392013453875	541.6555950900375	Correct vs Decoy
993.2392013453875	2215.6627421440785	Correct vs Decoy
5857.853926116547	2612.9029599162554	Correct vs Correct
5857.853926116547	1025.136278660971	Correct vs Decoy
5857.853926116547	4042.4407257112466	Correct vs Decoy
575.627264416077	1657.7921382118511	Correct vs Correct
575.627264416077	5.50303217072607	Correct vs Decoy
575.627264416077	1035.1197250356001	Correct vs Decoy
1704.3081750358356	1543.4261174899648	Correct vs Correct
1704.3081750358356	170.59399729250816	Correct vs Decoy
1704.3081750358356	171.56680525451938	Correct vs Decoy
361.17789139832274	2167.8027711608047	Correct vs Correct
361.17789139832274	96.69613671418665	Correct vs Decoy
361.17789139832274	1076.7859491688407	Correct vs Decoy
496.61960067269376	808.80474114127	Correct vs Correct
496.61960067269376	1415.065415329561	Correct vs Decoy
496.61960067269376	2272.8516772289186	Correct vs Decoy
45.14723642479034	63.88011968249519	Correct vs Correct
45.14723642479034	0	Correct vs Decoy
45.14723642479034	1789.196683368559	Correct vs Decoy
56.43404553098793	487.3434937067779	Correct vs Correct
56.43404553098793	1095.8895494274486	Correct vs Decoy
56.43404553098793	937.0815506044462	Correct vs Decoy
3386.0427318592756	3149.7020301514167	Correct vs Correct
3386.0427318592756	12177.424046363834	Correct vs Decoy
3386.0427318592756	4306.326811888436	Correct vs Decoy
67.72085463718551	487.3434937067779	Correct vs Correct
67.72085463718551	488.9837157416593	Correct vs Decoy
67.72085463718551	773.6845932191898	Correct vs Decoy
1918.7575480535897	715.0452106395431	Correct vs Correct
1918.7575480535897	1345.0982920160438	Correct vs Decoy
1918.7575480535897	69.44370688873404	Correct vs Decoy
0	0	Correct vs Correct
0	896.9942438283495	Correct vs Decoy
0	36.76431541168272	Correct vs Decoy
0	1.0303245110079873	Correct vs Correct
0	1.5722949059217346	Correct vs Decoy
0	1668.2829349034691	Correct vs Decoy
0	0	Correct vs Correct
0	885.9881794868974	Correct vs Decoy
0	40.849239346314135	Correct vs Decoy
981.9523922391901	1875.1906100345363	Correct vs Correct
981.9523922391901	732.6894261595281	Correct vs Decoy
981.9523922391901	0	Correct vs Decoy
3047.4384586733486	1942.1617032500556	Correct vs Correct
3047.4384586733486	1243.6852705840915	Correct vs Decoy
3047.4384586733486	458.32846546564457	Correct vs Decoy
349.8910822921252	1123.053716998706	Correct vs Correct
349.8910822921252	11.792211794413006	Correct vs Decoy
349.8910822921252	1031.0348011009687	Correct vs Decoy
3848.8019052133773	1397.1200369268304	Correct vs Correct
3848.8019052133773	1876.53397021759	Correct vs Decoy
3848.8019052133773	3143.757460092336	Correct vs Decoy
3453.7635864964614	4485.002596417768	Correct vs Correct
3453.7635864964614	3253.864307805029	Correct vs Decoy
3453.7635864964614	3004.870046314868	Correct vs Decoy
632.061309947065	1133.3569621087856	Correct vs Correct
632.061309947065	1141.4861016991792	Correct vs Decoy
632.061309947065	3839.8284985535283	Correct vs Decoy
665.9217372656576	952.0198481713802	Correct vs Correct
665.9217372656576	419.80273988110304	Correct vs Decoy
