tool	top_n_hvts	corr_spearman	corr_spearman_upper_ci	corr_spearman_lower_ci	mean_rel_diff	mean_rel_diff_upper_ci	mean_rel_diff_lower_ci
Ground_truth	500	0.835061467214842	0.866670369743001	0.803452564686684	1.38830044400992	1.40672074928988	1.36988013872995
Isosceles	500	0.714725079076525	0.757887402068909	0.671562756084142	1.01900320310306	1.04261248082448	0.995393925381639
IsoQuant	500	0.745422997617289	0.788382939645353	0.702463055589224	0.714041415012547	0.73787654369774	0.690206286327354
FLAMES	500	0.402949496553671	0.429258874220245	0.376640118887098	0.428861695648901	0.443490902136001	0.414232489161802
Sicelore	500	0.485210677443238	0.51550114689208	0.454920207994396	0.585792235320517	0.605920914485922	0.565663556155113
Ground_truth	1000	0.757880485675229	0.784230915243697	0.731530056106762	1.3635053991086	1.38200135055769	1.3450094476595
Isosceles	1000	0.632525903654436	0.669918502659412	0.59513330464946	0.89761537303826	0.917956500387459	0.877274245689062
IsoQuant	1000	0.665098553756046	0.702310619088279	0.627886488423813	0.628220952445026	0.64916256426104	0.607279340629013
FLAMES	1000	0.359240937897013	0.381312631903705	0.33716924389032	0.397810311954211	0.410146087095412	0.38547453681301
Sicelore	1000	0.447003454408159	0.474820941790833	0.419185967025486	0.483676566368637	0.499592301816213	0.467760830921061
Ground_truth	2000	0.740284806486424	0.767596814918784	0.712972798054064	1.30810265327116	1.32679052993891	1.28941477660341
Isosceles	2000	0.547348272371218	0.577926573850291	0.516769970892146	0.773394870561856	0.791733674484591	0.755056066639121
IsoQuant	2000	0.57400432490674	0.604700937063227	0.543307712750253	0.529816148257784	0.550163858532631	0.509468437982937
FLAMES	2000	0.31757966680028	0.335752110477611	0.299407223122948	0.364514036390151	0.37713022912847	0.351897843651832
Sicelore	2000	0.392760592758992	0.4163165332646	0.369204652253384	0.388241677277587	0.401061433313054	0.375421921242119
Ground_truth	4000	0.657430934665889	0.683889624720264	0.630972244611514	1.21603787778666	1.23590839047557	1.19616736509774
Isosceles	4000	0.48460081652874	0.510628012337972	0.458573620719508	0.678355037391904	0.695510046380656	0.661200028403152
IsoQuant	4000	0.471382836219652	0.496222948758086	0.446542723681218	0.415236437256016	0.434482023183419	0.395990851328614
FLAMES	4000	0.276717932897409	0.292967925052302	0.260467940742516	0.340424901690375	0.35318085149636	0.327668951884391
Sicelore	4000	0.279211597572163	0.295901461280548	0.262521733863778	0.345607954535437	0.356776879761895	0.33443902930898
Ground_truth	6000	0.590038305722798	0.614251335068946	0.56582527637665	1.15557570250366	1.17493056231607	1.13622084269125
Isosceles	6000	0.456718485240456	0.47999666913731	0.433440301343603	0.634640348169102	0.650973996496941	0.618306699841263
IsoQuant	6000	0.411115070443632	0.432742590099325	0.389487550787938	0.341929173382609	0.361186010370083	0.322672336395135
FLAMES	6000	0.266550517912631	0.281875967949722	0.251225067875541	0.334803826472713	0.34675273639246	0.322854916552966
Sicelore	6000	0.279211597572163	0.295901461280548	0.262521733863778	0.345607954535437	0.356776879761895	0.33443902930898
Ground_truth	10000	0.478748431722051	0.49887148236932	0.458625381074782	1.06873339608013	1.08830900596948	1.04915778619078
Isosceles	10000	0.402527668796504	0.42194774478277	0.383107592810237	0.576193013980454	0.591790253517385	0.560595774443522
IsoQuant	10000	0.305852174624881	0.3219149602575	0.289789388992262	0.252568219615123	0.268572611369309	0.236563827860936
FLAMES	10000	0.266550517912631	0.281875967949722	0.251225067875541	0.334803826472713	0.34675273639246	0.322854916552966
Sicelore	10000	0.279211597572163	0.295901461280548	0.262521733863778	0.345607954535437	0.356776879761895	0.33443902930898
